"Device class         ","Serial number        ","MAC_ETH              ",DAK-PW,Manufacturer,Device type,Date of manufacture
PLC-Head-End,C10625053330,00:0B:C2:19:B2:E1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053331,00:0B:C2:19:B2:E3,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053332,00:0B:C2:19:B2:E5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053333,00:0B:C2:19:B2:E7,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053334,00:0B:C2:19:B2:E9,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053335,00:0B:C2:19:B2:EB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053336,00:0B:C2:19:B2:ED,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053338,00:0B:C2:19:B2:F1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053340,00:0B:C2:19:B2:F5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053341,00:0B:C2:19:B2:F7,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053342,00:0B:C2:19:B2:F9,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053343,00:0B:C2:19:B2:FB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053344,00:0B:C2:19:B2:FD,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053345,00:0B:C2:19:B2:FF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053346,00:0B:C2:19:B3:01,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053348,00:0B:C2:19:B3:05,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053350,00:0B:C2:19:B3:09,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053351,00:0B:C2:19:B3:0B,n.a.,Corinex,CXP-GPH,20250529
PLC-Head-End,C10625053352,00:0B:C2:19:B3:0D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053353,00:0B:C2:19:B3:0F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053355,00:0B:C2:19:B3:13,n.a.,Corinex,CXP-GPH,20250530
